office_type,office,candidate,party,ANGELINA,BASTROP,BELL,BEXAR,BOWIE,BRAZORIA,BRAZOS,CALDWELL,CAMERON,CASS,CHAMBERS,CHEROKEE,COLEMAN,COLLIN,COMAL,COOKE,CORYELL,DALLAS,DENTON,EASTLAND,ECTOR,EL PASO,ELLIS,ERATH,FANNIN,FORT BEND,GALVESTON,GRAYSON,GREGG,GRIMES,GUADALUPE,HALE,HALL,HAMILTON,HARDIN,HARRIS,HARRISON,HAYS,HENDERSON,HIDALGO,HILL,HOCKLEY,HOOD,HOPKINS,HOUSTON,HUDSPETH,HUNT,HUTCHINSON,JEFFERSON,JIM WELLS,JOHNSON,KAUFMAN,KERR,KNOX,LAMAR,LAMPASAS,LAVACA,LEON,LIBERTY,LIMESTONE,LUBBOCK,LYNN,MARION,MARTIN,MATAGORDA,MCLENNAN,MCMULLEN,MEDINA,MIDLAND,MILAM,MILLS,MONTAGUE,MONTGOMERY,MOTLEY,NACOGDOCHES,NAVARRO,NOLAN,NUECES,OCHILTREE,ORANGE,PALO PINTO,PARKER,PARMER,POTTER,PRESIDIO,RAINS,RANDALL,RED RIVER,REEVES,REFUGIO,ROCKWALL,RUSK,SAN AUGUSTINE,SAN JACINTO,SAN PATRICIO,SAN SABA,SCURRY,SHACKELFORD,SHELBY,SHERMAN,SMITH,SOMERVELL,STARR,STEPHENS,TARRANT,TAYLOR,TERRY,THROCKMORTON,TITUS,TOM GREEN,TRAVIS,TRINITY,TYLER,UPSHUR,UPTON,UVALDE,VAL VERDE,VAN ZANDT,VICTORIA,WALKER,WALLER,WARD,WASHINGTON,WEBB,WHARTON,WHEELER,WICHITA,WILBARGER,WILLACY,WILLIAMSON,WILSON,WINKLER,WISE,WOOD,YOAKUM,YOUNG,ZAPATA,ZAVALA,All
12TH COURT OF APPEALS DISTRICT,"JUSTICE, 12TH COURT OF APPEALS DISTRICT, PLACE 3",GREG NEELEY (I),Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20958.0,,,,,20958
13TH COURT OF APPEALS DISTRICT,"JUSTICE, 13TH COURT OF APPEALS DISTRICT, PLACE 2",JENNY CRON,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2049.0,,,,,,,,,,2049
13TH COURT OF APPEALS DISTRICT,"JUSTICE, 13TH COURT OF APPEALS DISTRICT, PLACE 2",NORA LONGORIA (I),Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3053.0,,,,,,,,,,3053
13TH COURT OF APPEALS DISTRICT,"JUSTICE, 13TH COURT OF APPEALS DISTRICT, PLACE 4",JOE MARTINEZ,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2818.0,,,,,,,,,,2818
13TH COURT OF APPEALS DISTRICT,"JUSTICE, 13TH COURT OF APPEALS DISTRICT, PLACE 4",YSMAEL D. FONSECA,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2236.0,,,,,,,,,,2236
13TH COURT OF APPEALS DISTRICT,"JUSTICE, 13TH COURT OF APPEALS DISTRICT, PLACE 5",JON WEST,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2425.0,,,,,,,,,,2425
13TH COURT OF APPEALS DISTRICT,"JUSTICE, 13TH COURT OF APPEALS DISTRICT, PLACE 5",REGI COMPIAN RICHARDSON,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2547.0,,,,,,,,,,2547
14TH COURT OF APPEALS DISTRICT,"JUSTICE, 14TH COURT OF APPEALS DISTRICT, PLACE 3",CHAD BRIDGES,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13902.0,,,,,,,,,,,,,,,,13902
14TH COURT OF APPEALS DISTRICT,"JUSTICE, 14TH COURT OF APPEALS DISTRICT, PLACE 3",VELDA RENITA FAULKNER,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3511.0,,,,,,,,,,,,,,,,3511
14TH COURT OF APPEALS DISTRICT,"JUSTICE, 14TH COURT OF APPEALS DISTRICT, PLACE 4",CHARLES SPAIN (I),Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3493.0,,,,,,,,,,,,,,,,3493
