office,candidate,party,early_votes,election_day_votes,total_votes,percent,winner_margin
"CHIEF JUSTICE, 10TH COURT OF APPEALS DISTRICT",MATT JOHNSON,R,317036,90770,407806,100.0,0
"CHIEF JUSTICE, 13TH COURT OF APPEALS DISTRICT",GINA BENAVIDES,D,199753,58839,258592,29.058,81286
"CHIEF JUSTICE, 13TH COURT OF APPEALS DISTRICT",JAIME TIJERINA,R,261287,78591,339878,70.942,81286
"CHIEF JUSTICE, 5TH COURT OF APPEALS DISTRICT","JUSTIN JAY ""J.J."" KOCH",R,626498,138096,764594,64.97500000000001,16351
"CHIEF JUSTICE, 5TH COURT OF APPEALS DISTRICT",STACI WILLIAMS,D,599816,148427,748243,35.025,16351
"CHIEF JUSTICE, 8TH COURT OF APPEALS DISTRICT - UNEXPIRED TERM",MARIA  SALAS MENDOZA,D,126416,48850,175266,100.0,0
CRIMINAL DISTRICT ATTORNEY FANNIN COUNTY,JOHN SKOTNIK,R,10486,3723,14209,100.0,0
CRIMINAL DISTRICT ATTORNEY GRAYSON COUNTY,BRANDY DOUGLAS,D,12624,3018,15642,24.87,31616
CRIMINAL DISTRICT ATTORNEY GRAYSON COUNTY,JOHN KERMIT HILL,R,38841,8417,47258,75.13,31616
CRIMINAL DISTRICT ATTORNEY WALLER COUNTY - UNEXPIRED TERM,SEAN WHITTMORE,R,16767,4100,20867,100.0,0
CRIMINAL DISTRICT JUDGE #3 TARRANT COUNTY,JOHN T. BRENDER,D,287093,72715,359808,45.83,0
"CRIMINAL DISTRICT JUDGE, DALLAS COUNTY NUMBER 2",ELIZABETH DAVIS FRIZELL,D,464433,140010,604443,100.0,0
"CRIMINAL DISTRICT JUDGE, TARRANT COUNTY NUMBER 2","MARQUETTA ""MARQ"" CLAYTON",D,284599,72727,357326,45.47,71172
"CRIMINAL DISTRICT JUDGE, TARRANT COUNTY NUMBER 2",WILLIAM KNIGHT,R,350574,77924,428498,54.53,71172
"DISTRICT ATTORNEY, 105TH JUDICIAL DISTRICT",TERRY SHAMSIE,D,40549,10376,50925,44.35,0
"DISTRICT ATTORNEY, 112TH JUDICIAL DISTRICT",STEPHEN DODD,R,5604,1621,7225,100.0,0
"DISTRICT ATTORNEY, 142ND JUDICIAL DISTRICT",GLENN HARWOOD,R,38191,9764,47955,100.0,0
"DISTRICT ATTORNEY, 143RD JUDICIAL DISTRICT",SARAH STOGNER,R,2872,1209,4081,58.883333333333326,0
"DISTRICT ATTORNEY, 156TH JUDICIAL DISTRICT",TIFFANY MCWILLIAMS,R,8311,3007,11318,100.0,0
"DISTRICT ATTORNEY, 159TH JUDICIAL DISTRICT",LAYNE ALLEN THOMPSON,R,21709,5568,27277,100.0,0
"DISTRICT ATTORNEY, 18TH JUDICIAL DISTRICT",TIMOTHY M. GOOD,R,55654,12048,67702,100.0,0
"DISTRICT ATTORNEY, 21ST JUDICIAL DISTRICT",DEREK ESTEP,R,12084,2537,14621,100.0,0
"DISTRICT ATTORNEY, 24TH JUDICIAL DISTRICT",BRIAN MICHAEL CROMEENS,R,9031,3077,12108,100.0,0
