county_name,precincts_reporting,total_precincts,percent_reporting,registered_voters,voted_counted,turnout_percent,poll_locations,poll_locations_reporting,poll_locations_percent
ANDERSON,23,23,100.0,30613,,63.23,23,23,100.0
ANDREWS,5,5,100.0,10739,,56.43,2,2,100.0
ANGELINA,42,42,100.0,55965,,61.51,22,22,100.0
ARANSAS,7,7,100.0,19849,,65.65,5,5,100.0
ARCHER,14,14,100.0,7008,,73.23,7,7,100.0
ARMSTRONG,10,10,100.0,1429,,77.61,4,4,100.0
ATASCOSA,20,20,100.0,32142,,57.38,14,14,100.0
AUSTIN,15,15,100.0,22116,,69.56,11,11,100.0
BAILEY,5,5,100.0,3172,,54.89,5,5,100.0
BANDERA,11,11,100.0,19026,,71.48,11,11,100.0
BASTROP,27,27,100.0,61403,,64.83,16,16,100.0
BAYLOR,5,5,100.0,2430,,68.93,5,5,100.0
BEE,14,14,100.0,15979,,55.01,10,10,100.0
BELL,66,66,100.0,240207,,54.4,43,43,100.0
BEXAR,777,777,100.0,1295580,,58.53,303,303,100.0
BLANCO,6,6,100.0,11014,,77.38,6,6,100.0
BORDEN,6,6,100.0,487,,79.47,6,6,100.0
BOSQUE,12,12,100.0,13638,,70.22,12,12,100.0
BOWIE,50,50,100.0,62656,,58.48,26,26,100.0
BRAZORIA,80,80,100.0,249840,,64.86,41,41,100.0
BRAZOS,115,115,100.0,133384,,68.94,29,29,100.0
BREWSTER,9,9,100.0,7408,,61.8,8,8,100.0
BRISCOE,6,6,100.0,1037,,71.84,5,5,100.0
BROOKS,6,6,100.0,4945,,48.57,6,6,100.0
BROWN,19,19,100.0,25500,,66.09,16,16,100.0
BURLESON,14,14,100.0,13840,,67.7,10,10,100.0
BURNET,21,21,100.0,39186,,71.84,20,20,100.0
CALDWELL,29,29,100.0,27097,,57.91,21,21,100.0
CALHOUN,11,11,100.0,13223,,59.23,12,12,100.0
CALLAHAN,9,9,100.0,10439,,66.94,5,5,100.0
CAMERON,102,102,100.0,238215,,48.76,69,69,100.0
CAMP,5,5,100.0,8424,,62.23,5,5,100.0
CARSON,9,9,100.0,4297,,73.94,7,7,100.0
CASS,19,19,100.0,21812,,64.84,14,14,100.0
CASTRO,8,8,100.0,3694,,54.76,8,8,100.0
CHAMBERS,20,20,100.0,37026,,67.45,11,11,100.0
CHEROKEE,26,26,100.0,32121,,63.84,17,17,100.0
CHILDRESS,5,5,100.0,3804,,59.73,5,5,100.0
CLAY,17,17,100.0,8291,,71.26,14,14,100.0
COCHRAN,6,6,100.0,1676,,53.28,4,4,100.0
COKE,5,5,100.0,2460,,73.74,5,5,100.0
COLEMAN,6,6,100.0,6139,,67.7,5,5,100.0
COLLIN,253,253,100.0,748752,,68.86,118,118,100.0
COLLINGSWORTH,8,8,100.0,1887,,63.65,8,8,100.0
COLORADO,11,11,100.0,14775,,67.64,12,12,100.0
COMAL,35,35,100.0,143696,,72.02,27,27,100.0
COMANCHE,14,14,100.0,10022,,65.3,9,9,100.0
CONCHO,9,9,100.0,1795,,66.74,9,9,100.0
COOKE,18,18,100.0,30193,,67.72,16,16,100.0
CORYELL,17,17,100.0,46995,,50.91,9,9,100.0
COTTLE,5,5,100.0,994,,66.1,5,5,100.0
CRANE,5,5,100.0,2674,,51.94,5,5,100.0
CROCKETT,5,5,100.0,2289,,61.9,5,5,100.0
CROSBY,5,5,100.0,3638,,51.68,5,5,100.0
CULBERSON,6,6,100.0,1707,,45.75,5,5,100.0
DALLAM,10,10,100.0,2873,,50.37,5,5,100.0
DALLAS,885,885,100.0,1467410,,57.92,456,456,100.0
DAWSON,10,10,100.0,6776,,51.84,10,10,100.0
DEAF SMITH,5,5,100.0,8756,,48.95,5,5,100.0
DELTA,8,8,100.0,4112,,64.64,8,8,100.0
DENTON,241,241,100.0,661565,,67.9,146,146,100.0
DEWITT,11,11,100.0,11357,,68.9,8,8,100.0
DICKENS,7,7,100.0,1433,,69.3,7,7,100.0
DIMMIT,8,8,100.0,6706,,51.1,8,8,100.0
DONLEY,6,6,100.0,2414,,70.92,6,6,100.0
DUVAL,10,10,100.0,8031,,55.55,10,10,100.0
EASTLAND,10,10,100.0,12520,,66.81,10,10,100.0
ECTOR,42,42,100.0,86640,,49.19,24,24,100.0
EDWARDS,5,5,100.0,1496,,67.18,6,6,100.0
ELLIS,59,59,100.0,147399,,67.54,31,31,100.0
EL PASO,222,222,100.0,521945,,48.2,117,117,100.0
ERATH,22,22,100.0,25961,,70.69,12,12,100.0
FALLS,12,12,100.0,10562,,59.43,13,13,100.0
FANNIN,18,18,100.0,24942,,65.73,17,17,100.0
FAYETTE,13,13,100.0,18353,,72.64,13,13,100.0
FISHER,5,5,100.0,2705,,67.65,5,5,100.0
